epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,654.992,0.59607,0.32438,0.7942,0.97009,0.98322,0.98024,0.87654,0.49437,0.31977,0.80858,0.0004424,0.0004424,0.0004424
120,660.13,0.57791,0.322,0.79772,0.97016,0.98206,0.97987,0.87113,0.52719,0.32166,0.81076,0.0004292,0.0004292,0.0004292
121,665.366,0.5649,0.31207,0.79897,0.96925,0.97987,0.97961,0.87795,0.49227,0.31546,0.81103,0.000416,0.000416,0.000416
122,670.65,0.57105,0.31693,0.79576,0.97019,0.98277,0.98171,0.86118,0.55357,0.33062,0.81437,0.0004028,0.0004028,0.0004028
123,675.832,0.5737,0.31485,0.79146,0.9702,0.98314,0.98263,0.88059,0.49367,0.31502,0.81042,0.0003896,0.0003896,0.0003896
124,681.028,0.58158,0.3177,0.79419,0.96963,0.98322,0.98405,0.85393,0.58243,0.33199,0.81275,0.0003764,0.0003764,0.0003764
125,686.307,0.58474,0.31892,0.79181,0.9734,0.98245,0.98448,0.87497,0.52242,0.32116,0.81119,0.0003632,0.0003632,0.0003632
126,691.561,0.57201,0.31384,0.79009,0.97332,0.98322,0.98502,0.88709,0.47781,0.31006,0.80935,0.00035,0.00035,0.00035
127,696.831,0.58086,0.31681,0.79453,0.97311,0.98322,0.9835,0.84405,0.64158,0.34666,0.81653,0.0003368,0.0003368,0.0003368
128,702.108,0.57614,0.31534,0.79132,0.97261,0.98322,0.98225,0.87932,0.49789,0.30952,0.81102,0.0003236,0.0003236,0.0003236
129,707.467,0.57111,0.31053,0.79417,0.97258,0.98322,0.98253,0.88001,0.50223,0.30854,0.81084,0.0003104,0.0003104,0.0003104
130,712.984,0.55551,0.30548,0.79567,0.97282,0.98322,0.98321,0.88919,0.49216,0.30211,0.80981,0.0002972,0.0002972,0.0002972
131,718.71,0.54272,0.30098,0.79631,0.9727,0.98322,0.98326,0.87343,0.52567,0.30624,0.80983,0.000284,0.000284,0.000284
132,724.412,0.55776,0.30439,0.79688,0.97261,0.98322,0.98398,0.87629,0.51701,0.30793,0.80955,0.0002708,0.0002708,0.0002708
133,729.875,0.54463,0.30129,0.7976,0.97266,0.98322,0.98415,0.87511,0.53696,0.31044,0.81182,0.0002576,0.0002576,0.0002576
134,735.767,0.57162,0.30887,0.7885,0.97279,0.98322,0.98443,0.88385,0.50771,0.30823,0.80988,0.0002444,0.0002444,0.0002444
135,741.363,0.5464,0.30319,0.78841,0.97235,0.98322,0.9835,0.87325,0.53824,0.31535,0.80829,0.0002312,0.0002312,0.0002312
136,747.854,0.53839,0.30127,0.79145,0.96928,0.98322,0.98369,0.86399,0.57546,0.32804,0.81071,0.000218,0.000218,0.000218
137,753.868,0.56835,0.31121,0.79193,0.96998,0.98322,0.98406,0.88792,0.50614,0.31224,0.80728,0.0002048,0.0002048,0.0002048
138,759.7,0.54344,0.29868,0.78656,0.97174,0.98322,0.98432,0.87606,0.53163,0.3134,0.8083,0.0001916,0.0001916,0.0001916
139,765.345,0.54993,0.30469,0.79178,0.97234,0.98322,0.98573,0.88174,0.51837,0.30515,0.80912,0.0001784,0.0001784,0.0001784
140,770.964,0.56031,0.30343,0.79153,0.97286,0.98322,0.98548,0.88026,0.50913,0.30611,0.81024,0.0001652,0.0001652,0.0001652
141,778.94,0.53889,0.30745,0.7952,0.96934,0.98322,0.98501,0.87696,0.53589,0.31757,0.81064,0.000152,0.000152,0.000152
142,784.925,0.53176,0.29485,0.79252,0.96966,0.98322,0.9841,0.87729,0.50531,0.31244,0.81063,0.0001388,0.0001388,0.0001388
143,790.636,0.52605,0.30092,0.7984,0.96974,0.98322,0.98357,0.86318,0.56266,0.3256,0.81278,0.0001256,0.0001256,0.0001256
144,796.458,0.5266,0.29554,0.79305,0.9696,0.98322,0.9829,0.87001,0.52177,0.31439,0.81057,0.0001124,0.0001124,0.0001124
145,802.2,0.51919,0.29199,0.79498,0.96957,0.98322,0.98257,0.87605,0.49823,0.30849,0.80878,9.92e-05,9.92e-05,9.92e-05
146,808.076,0.51808,0.29531,0.7894,0.96964,0.98322,0.98305,0.87381,0.52047,0.31016,0.80871,8.6e-05,8.6e-05,8.6e-05
147,813.463,0.52571,0.29142,0.79105,0.96963,0.98322,0.98343,0.87366,0.5164,0.31166,0.80813,7.28e-05,7.28e-05,7.28e-05
148,818.743,0.52925,0.2908,0.79499,0.96955,0.98322,0.98208,0.87098,0.50305,0.30834,0.80785,5.96e-05,5.96e-05,5.96e-05
149,824.048,0.50199,0.28309,0.78913,0.96991,0.98322,0.98206,0.87425,0.49876,0.30635,0.80811,4.64e-05,4.64e-05,4.64e-05
150,829.739,0.4952,0.28334,0.79566,0.97141,0.98322,0.98184,0.87604,0.50166,0.30543,0.80887,3.32e-05,3.32e-05,3.32e-05
